canonical_song_id,canonical_title,canonical_artist,canonical_group_key,entry_count,alias_count,first_chart_date,last_chart_date
1482,Just One of Them Thangs,Keith Sweat feat. Gerald Levert,just one of them thangs|||keith sweat feat gerald levert,14,3,2005-10-04,2024-10-22
2847,This Lil' Game We Play,Subway feat. 702,this lil game we play|||subway feat 702,14,3,2006-02-28,2015-11-10
2996,Waiting for a Girl Like You,Foreigner,waiting for a girl like you|||foreigner,8,3,2004-06-01,2012-03-06
1008,Gonna Give It To Ya (from Above the Rim),Aaron Hall; Jewell,gonna give it to ya from above the rim|||aaron hall jewell,7,3,2014-01-07,2023-06-20
2774,The Rain,Oran 'Juice' Jones,the rain|||oran juice jones,7,3,2023-01-03,2023-02-14
420,Can I Live,Sisqó feat. The Dragon Family,can i live|||sisqo feat the dragon family,5,3,2005-10-18,2015-01-27
2141,Pumps and a Bump,Hammer,pumps and a bump|||hammer,3,3,2004-12-28,2014-11-11
93,Ain't No Fun (Original Gangstas),Dino of H-Town feat. Teddy,aint no fun original gangstas|||dino of h town feat teddy,258,2,2010-07-06,2017-05-02
1380,In the Heat of the Night,Bill Champlin,in the heat of the night|||bill champlin,152,2,2013-12-31,2020-10-11
2680,Take Your Time,Raja-Nee,take your time|||raja nee,119,2,2013-01-22,2020-08-18
1956,Nymphomaniac,T3 feat. 1095 FS Crew,nymphomaniac|||t3 feat 1095 fs crew,115,2,2012-07-24,2023-06-06
2574,Stilettos and T-Shirt,Bobby V. feat. Nicki Minaj,stilettos and t shirt|||bobby v feat nicki minaj,113,2,2018-05-29,2022-03-29
1670,Love Me,Lil' Wayne feat. Drake; Future,love me|||lil wayne feat drake future,107,2,2014-07-08,2024-02-13
2748,The Descent,Kevin MacLeod,the descent|||kevin macleod,107,2,2014-07-22,2023-09-26
2507,Something Real,Trae tha Truth; Slim Thug; Plies; Jodeci; Brian Angel,something real|||trae tha truth slim thug plies jodeci brian angel,87,2,2014-08-26,2021-07-06
1308,I'd Rather F**k You,N.W.A.,id rather f k you|||n w a,86,2,2013-04-02,2021-02-23
2098,Please Excuse My Hands,Plies feat. Jamie Foxx; The-Dream,please excuse my hands|||plies feat jamie foxx the dream,85,2,2008-10-14,2015-03-17
142,Always Showing Love,Bobby V.,always showing love|||bobby v,83,2,2018-06-12,2020-03-24
2519,SOS (Sex on Sight),Victoria Monét feat. USHER,sos sex on sight|||victoria monet feat usher,74,2,2024-09-03,2026-02-03
3196,You Don't Have to Cry,Adina Howard feat. Michael Speaks,you dont have to cry|||adina howard feat michael speaks,72,2,2007-01-02,2016-07-26
38,30 For 30,SZA; Kendrick Lamar,30 for 30|||sza kendrick lamar,64,2,2024-12-31,2026-04-07
2392,She's Bangin',Meaku feat. Banky W,shes bangin|||meaku feat banky w,64,2,2024-12-10,2026-04-07
2562,Stay Awhile,foggieraw feat. Ari Lennox,stay awhile|||foggieraw feat ari lennox,62,2,2024-05-14,2025-08-05
306,Black Opium,Jake&Papa,black opium|||jake and papa,59,2,2015-06-23,2017-05-30
3209,You Look So Good to Me,James A. Johnston,you look so good to me|||james a johnston,59,2,2003-03-25,2016-02-09
2713,Textin My Ex,T-Pain feat. Tiffany Evans,textin my ex|||t pain feat tiffany evans,56,2,2017-12-26,2019-07-16
297,Black and Yellow,Wiz Khalifa,black and yellow|||wiz khalifa,55,2,2011-08-09,2020-10-11
1731,Making Love In the Rain,Herb Alpert feat. Lisa Keith; Janet Jackson,making love in the rain|||herb alpert feat lisa keith janet jackson,52,2,2004-05-04,2019-01-01
329,Body on Mine,Jake&Papa,body on mine|||jake and papa,49,2,2015-06-23,2016-05-24
2670,Take It To Da House,Trick Daddy feat. The Slip-n-Slide Express,take it to da house|||trick daddy feat the slip n slide express,46,2,2025-03-04,2026-01-20
514,Close To You,Dreezy feat. T-Pain,close to you|||dreezy feat t pain,44,2,2016-11-01,2019-06-04
138,Along the Way,Ryan Farish,along the way|||ryan farish,43,2,2016-01-12,2018-02-13
1871,Need to Know,Doja Cat,need to know|||doja cat,43,2,2021-12-07,2025-10-28
939,Get It Wet,Twista feat. Miss Kane,get it wet|||twista feat miss kane,42,2,2005-04-19,2006-04-18
2146,Pure Heat,Danny Pelfrey; Rick Rhodes,pure heat|||danny pelfrey rick rhodes,42,2,2009-11-10,2019-03-05
598,Dang!!!!,Lil' Flip feat. H-Town,dang|||lil flip feat h town,40,2,2014-10-28,2015-07-28
1344,I'm Going for Mine,Keith Sweat,im going for mine|||keith sweat,40,2,2010-05-11,2023-02-14
2514,Sons... I Got the Hook-Up [R&B],Sons of Funk,sons i got the hook up r and b|||sons of funk,40,2,2009-03-10,2022-07-12
1789,Money Longer,Lil Uzi Vert,money longer|||lil uzi vert,39,2,2016-09-13,2020-10-11
1847,My Star,Akiese feat. Young Joe,my star|||akiese feat young joe,39,2,2012-02-07,2016-12-20
1383,In the Now,Barry Gibb,in the now|||barry gibb,38,2,2016-11-08,2019-02-12
694,Don't Play With Love,Levelle,dont play with love|||levelle,37,2,2022-04-19,2022-12-27
2155,Put It on Paper,Ann Nesby feat. Al Green,put it on paper|||ann nesby feat al green,37,2,2022-02-08,2023-02-14
2733,The Audacity,Lizzen; Jacquees; Rob49,the audacity|||lizzen jacquees rob49,37,2,2024-12-17,2025-09-09
1061,Gypsy Rain,Yasuhiro Nakano; Makoto Mukai,gypsy rain|||yasuhiro nakano makoto mukai,36,2,2015-09-15,2020-10-11
1207,I Don't Like,Chief Keef feat. Lil' Reese,i dont like|||chief keef feat lil reese,36,2,2012-09-25,2019-03-19
3065,Wet the Bed,Chris Brown feat. Ludacris,wet the bed|||chris brown feat ludacris,36,2,2011-06-28,2018-07-31
716,Down on My Knees,Montell Jordan,down on my knees|||montell jordan,35,2,2013-09-03,2015-12-22
970,Gimmie That N***,Eazy-E,gimmie that n|||eazy e,34,2,2013-08-13,2020-01-07
2348,Set Him Up,Queen Naija; Ari Lennox,set him up|||queen naija ari lennox,34,2,2021-04-20,2024-02-06
651,Do The Right Thing,Redhead Kingpin & The FBI,do the right thing|||redhead kingpin and the fbi,33,2,2015-04-14,2019-03-12
391,BURNITUP!,Janet Jackson,burnitup|||janet jackson,32,2,2015-09-29,2016-05-03
402,Buy U A Drank (Shawty Snappin'),T-Pain feat. Yung Joc,buy u a drank shawty snappin|||t pain feat yung joc,32,2,2007-04-03,2007-11-13
1941,Nothing But a Number,Pretty Ricky,nothing but a number|||pretty ricky,32,2,2005-12-06,2021-10-12
1204,I Don't Deserve You,Lloyd Banks feat. Jeremih,i dont deserve you|||lloyd banks feat jeremih,31,2,2011-11-15,2013-07-23
578,Crying out for Me,Mario,crying out for me|||mario,30,2,2008-01-08,2008-07-29
1102,Here We Go... Again,"The Weeknd feat. Tyler, The Creator",here we go again|||the weeknd feat tyler the creator,30,2,2022-01-11,2022-08-02
2248,Rinbu~Revolution (Revolutionary Girl Utena),Masami Okui,rinbu revolution revolutionary girl utena|||masami okui,30,2,2016-03-01,2018-10-09
3094,What's Goin' On?,Gemaine,whats goin on|||gemaine,30,2,2021-02-02,2025-04-22
148,American Way,Nas feat. Kelis,american way|||nas feat kelis,29,2,2008-06-03,2022-07-05
1903,No Flex Zone,Rae Sremmurd,no flex zone|||rae sremmurd,29,2,2014-08-19,2015-03-03
966,Gimme the Loot,The Notorious B.I.G.,gimme the loot|||the notorious b i g,28,2,2007-02-13,2016-06-07
1098,Here Comes the Hammer,MC Hammer,here comes the hammer|||mc hammer,28,2,2015-06-02,2015-12-08
2237,Ridin' Solo,Keith Sweat,ridin solo|||keith sweat,28,2,2010-07-06,2011-11-15
570,Crooked Smile,J. Cole feat. TLC,crooked smile|||j cole feat tlc,27,2,2013-08-06,2020-03-17
2253,Riverside Drive,Scott Schreer; Michael Whalen,riverside drive|||scott schreer michael whalen,27,2,2010-03-30,2019-04-30
566,Crazy,illwin feat. Theory,crazy|||illwin feat theory,26,2,2016-04-05,2017-09-19
1491,Karate Chop,Future feat. Lil' Wayne,karate chop|||future feat lil wayne,26,2,2013-03-19,2016-09-27
3144,Will You Marry Me,Men at Large,will you marry me|||men at large,26,2,2006-12-26,2019-09-10
42,6 Foot 7 Foot,Lil Wayne feat. Cory Gunz,6 foot 7 foot|||lil wayne feat cory gunz,24,2,2011-04-05,2011-12-06
623,Devil In My Bedroom,The Louisiana Blues Brothas feat. Rena',devil in my bedroom|||the louisiana blues brothas feat rena,24,2,2015-12-15,2019-10-08
1497,Keep It Right There,Changing Faces feat. DeVante Swing,keep it right there|||changing faces feat devante swing,24,2,2004-03-02,2006-08-29
3166,Woodgrain and Leather Wit A Hole,Nelly,woodgrain and leather wit a hole|||nelly,24,2,2004-11-09,2005-05-10
3214,#!*@ You Tonight,The Notorious B.I.G. feat. R. Kelly,you tonight|||the notorious b i g feat r kelly,23,2,2003-03-18,2005-08-02
554,Cookie,Bobby V,cookie|||bobby v,23,2,2022-07-05,2022-12-06
2578,STILL FINE,Sons of Funk,still fine|||sons of funk,23,2,2023-03-21,2023-08-29
1131,Holding,Lloyd feat. Lil Wayne,holding|||lloyd feat lil wayne,22,2,2016-12-27,2017-12-26
2989,Voices (Randy Orton Theme),Rev Theory; WWE,voices randy orton theme|||rev theory wwe,21,2,2019-10-29,2020-03-17
74,Ace Is in the House,Tone-Loc,ace is in the house|||tone loc,20,2,2009-08-04,2009-12-15
198,Baby Hold On To Me,Gerald Levert feat. Eddie Levert,baby hold on to me|||gerald levert feat eddie levert,20,2,2021-07-27,2023-05-02
2172,Rain on Me,Ashanti,rain on me|||ashanti,20,2,2017-10-03,2025-04-08
2388,She Swallowed It,N.W.A.,she swallowed it|||n w a,20,2,2017-12-26,2024-01-23
3194,You Can Be My N***a,Adina Howard feat. Yo-Yo,you can be my n a|||adina howard feat yo yo,20,2,2007-01-23,2007-06-19
345,Born II Die (Tales from the Hood),Spice 1,born ii die tales from the hood|||spice 1,19,2,2016-05-17,2019-07-30
531,Come Get To This,Marvin Gaye,come get to this|||marvin gaye,19,2,2010-08-31,2018-12-04
699,Don't Stop the Rock,Freestyle,dont stop the rock|||freestyle,19,2,2007-09-25,2024-08-20
1219,I Get Crazy,Nicki Minaj feat. Lil Wayne,i get crazy|||nicki minaj feat lil wayne,19,2,2009-12-15,2012-05-29
1277,I Wanna Be Yo Ho (Remix),AMG,i wanna be yo ho remix|||amg,19,2,2007-06-05,2011-07-05
1931,Not a Day,Guy,not a day|||guy,19,2,2006-10-24,2019-05-14
2150,Pushing Inside You 2019,Ar'Jay; Sons of Funk,pushing inside you 2019|||arjay sons of funk,19,2,2020-08-18,2020-12-29
29,21 Questions,50 Cent feat. Nate Dogg,21 questions|||50 cent feat nate dogg,18,2,2003-04-08,2003-08-05
451,Casanova,LeVert,casanova|||levert,18,2,2014-05-20,2020-01-07
1562,Leave The Door Open,Bruno Mars; Anderson .Paak; Silk Sonic,leave the door open|||bruno mars anderson paak silk sonic,18,2,2021-04-20,2021-08-17
3217,Your Love Is a 187,The Whitehead Bros.,your love is a 187|||the whitehead bros,18,2,2010-08-31,2011-01-04
2109,"(Pop, Pop, Pop, Pop) Goes My Mind",LeVert,pop pop pop pop goes my mind|||levert,17,2,2014-05-20,2014-09-09
620,Déjà vu (Uptown Baby),Lord Tariq & Peter Gunz,deja vu uptown baby|||lord tariq and peter gunz,17,2,2011-09-27,2021-09-14
1268,"I Start You Up, You Turn Me On",LeVert,i start you up you turn me on|||levert,17,2,2014-05-20,2019-08-27
182,Attitude,Deante Hitchcock feat. Young Nudy,attitude|||deante hitchcock feat young nudy,16,2,2020-12-15,2021-12-28
299,Black Cat Moon (Virtua Fighter 2),Mitsu Nakamura; Hashimoto Yoshi,black cat moon virtua fighter 2|||mitsu nakamura hashimoto yoshi,16,2,2015-05-26,2018-05-15
947,Get On Up,Jodeci,get on up|||jodeci,16,2,2005-05-03,2006-02-14
1071,Hard Times,Ludacris feat. Carl Thomas; 8-Ball & MJG,hard times|||ludacris feat carl thomas 8 ball and mjg,16,2,2004-09-28,2005-01-11
1313,If I Ruled The World (Imagine That),Nas feat. Lauryn Hill,if i ruled the world imagine that|||nas feat lauryn hill,16,2,2016-01-26,2020-06-02
1436,It's Ok,Meaku,its ok|||meaku,16,2,2023-06-06,2023-09-19
1611,Light a Candle,Jamie Foxx,light a candle|||jamie foxx,16,2,2006-07-11,2006-11-28
1940,Nothin' On,Lil Jon & The East Side Boyz feat. Oobie; Bohagon,nothin on|||lil jon and the east side boyz feat oobie bohagon,16,2,2003-08-12,2003-12-02
2482,Snap Yo Fingers,Lil Jon feat. E-40; Sean Paul of the YoungBloodZ,snap yo fingers|||lil jon feat e 40 sean paul of the youngbloodz,16,2,2006-05-30,2021-02-09
110,All Day All Night,Bobby Brown,all day all night|||bobby brown,15,2,2012-10-30,2022-03-29
1197,I Belong to You (Every Time I See Your Face),Rome,i belong to you every time i see your face|||rome,15,2,2003-12-16,2017-07-25
1345,I'm Going to Fall In Love,Ginuwine,im going to fall in love|||ginuwine,15,2,2014-01-21,2016-06-28
2017,Ooh Na Na Naa Naa,Lil Jon & The East Side Boyz feat. Devin the Dude; Oobie,ooh na na naa naa|||lil jon and the east side boyz feat devin the dude oobie,15,2,2003-06-10,2004-01-06
2211,Reflections in Time,Trammell Starks,reflections in time|||trammell starks,15,2,2007-02-27,2013-09-10
1221,I Got 5 On It,Luniz,i got 5 on it|||luniz,14,2,2003-03-18,2024-01-02
2738,The Body,Wale feat. Jeremih,the body|||wale feat jeremih,14,2,2015-03-17,2015-06-16
3168,Word Up!,Cameo,word up|||cameo,14,2,2024-10-29,2025-09-09
831,Fisherman From 7 Seas,Mitsu Nakamura; Hashimoto Yoshi,fisherman from 7 seas|||mitsu nakamura hashimoto yoshi,13,2,2004-05-18,2019-07-16
1214,I Don't Want to Do Anything,Mary J. Blige feat. K-Ci,i dont want to do anything|||mary j blige feat k ci,13,2,2006-07-11,2024-02-13
1901,No Fake Love,Queen Naija feat. Youngboy Never Broke Again,no fake love|||queen naija feat youngboy never broke again,13,2,2023-09-05,2024-10-08
1969,On and On,Navio feat. Keith Sweat,on and on|||navio feat keith sweat,13,2,2014-10-28,2015-02-10
2157,Put Your Hands on My Body,Danéx,put your hands on my body|||danex,13,2,2016-07-05,2016-12-27
489,Chedda Brings,Ginuwine feat. Jose Cenquentez,chedda brings|||ginuwine feat jose cenquentez,12,2,2006-02-07,2006-07-11
528,Come Back to Me,Janet Jackson,come back to me|||janet jackson,12,2,2018-01-09,2018-03-27
1323,If You Let Me,Sinead Harnett feat. Grades,if you let me|||sinead harnett feat grades,12,2,2017-01-17,2017-04-04
2483,Snoop Dogg (What's My Name pt. II),Snoop Dogg,snoop dogg whats my name pt ii|||snoop dogg,12,2,2004-02-03,2019-04-02
2822,Theme of Sagat & Ryu (Street Fighter Alpha 2),Setsuo Yamamoto; Syun Nishigaki; Tatsuro Suzuki,theme of sagat and ryu street fighter alpha 2|||setsuo yamamoto syun nishigaki tatsuro suzuki,12,2,2006-07-11,2018-04-24
3053,Weekend Girl,S.O.S Band,weekend girl|||s o s band,12,2,2009-01-20,2010-07-20
3147,Wishing,DJ Drama feat. Chris Brown; Skeme; Lyquin,wishing|||dj drama feat chris brown skeme lyquin,12,2,2017-04-04,2017-06-20
88,Ain't Gonna Hurt Nobody,Kid 'n Play,aint gonna hurt nobody|||kid n play,11,2,2007-05-22,2018-12-18
273,Beez in the Trap,Nicki Minaj feat. 2 Chainz,beez in the trap|||nicki minaj feat 2 chainz,11,2,2012-05-08,2012-07-24
364,Breathe In Breathe Out,Kanye West feat. Ludacris,breathe in breathe out|||kanye west feat ludacris,11,2,2004-02-17,2004-12-07
695,Don't Rush the Night,Aaron Hall,dont rush the night|||aaron hall,11,2,2013-10-29,2014-11-11
1628,Living With a Hernia,"""Weird Al"" Yankovic",living with a hernia|||weird al yankovic,11,2,2022-12-27,2023-03-07
2112,Pop That P--sy,2 Live Crew,pop that p sy|||2 live crew,11,2,2017-05-09,2017-08-01
2116,Poppin,Rico Richie,poppin|||rico richie,11,2,2019-03-26,2019-08-13
2357,"Sex, Money & Murder from Juice",MC Pooh,sex money and murder from juice|||mc pooh,11,2,2021-06-15,2021-08-24
2700,Tell Me (Remix),Bobby V feat. Lil Wayne,tell me remix|||bobby v feat lil wayne,11,2,2005-08-30,2006-01-31
3167,Word to tha D,AMG,word to tha d|||amg,11,2,2007-04-24,2012-01-24
63,A Milli,Lil Wayne,a milli|||lil wayne,10,2,2008-07-08,2008-12-02
325,Body Aint Me,Pink Sweat$,body aint me|||pink sweat,10,2,2019-06-25,2020-01-14
771,Everybody Wants to Rule the World,Tears for Fears,everybody wants to rule the world|||tears for fears,10,2,2021-08-31,2022-02-22
1162,How Can I Love U 2Nite,Sisqò,how can i love u 2nite|||sisqo,10,2,2003-12-09,2004-12-14
1605,Life Is… Too Short,Too $hort,life is too short|||too hort,10,2,2005-02-15,2018-01-30
1640,Look Back at Me,Trina feat. Killer Mike,look back at me|||trina feat killer mike,10,2,2013-01-15,2013-04-16
1935,Not the One Blues,Burnshee Thornside,not the one blues|||burnshee thornside,10,2,2007-08-14,2017-04-11
2133,Proof Is In the Pudding,Nuttin' Nyce,proof is in the pudding|||nuttin nyce,10,2,2013-12-17,2014-02-18
2690,Teach Me How to Dougie,Cali Swag District,teach me how to dougie|||cali swag district,10,2,2012-12-25,2021-10-19
3034,Ways to Treat a Woman,H-Town,ways to treat a woman|||h town,10,2,2011-01-25,2011-04-19
3036,We Are Young,Fun. feat. Janelle Monae,we are young|||fun feat janelle monae,10,2,2013-04-30,2019-08-13
491,CHERRY SORBET,DIXSON feat. Sevyn Streeter,cherry sorbet|||dixson feat sevyn streeter,9,2,2022-08-30,2022-10-25
530,Come For Me (Unlocked),Alicia Keys feat. Khalid; Lucky Daye,come for me unlocked|||alicia keys feat khalid lucky daye,9,2,2023-05-23,2023-08-22
812,Feel the Funk,Immature,feel the funk|||immature,9,2,2006-08-15,2006-10-10
1314,If I Ruled The World,Nas feat. Lauryn Hill,if i ruled the world|||nas feat lauryn hill,9,2,2013-09-17,2016-01-19
1396,Insane In the Brain,Cypress Hill,insane in the brain|||cypress hill,9,2,2016-05-03,2016-06-28
1401,Instant OC ReMix,Instant Remedy,instant oc remix|||instant remedy,9,2,2004-12-07,2005-03-01
2148,Push up on Your Body,H-Town,push up on your body|||h town,9,2,2016-10-18,2017-12-26
248,Be Thankful For What You Got,William Devaughn,be thankful for what you got|||william devaughn,8,2,2023-09-05,2023-10-31
641,Dirt off Your Shoulder,Jay-Z,dirt off your shoulder|||jay z,8,2,2004-04-27,2018-05-29
1936,Not Tonight (Ladies Night Remix),"Lil Kim feat. Angie Martinez; Lisa ""Left Eye"" Lopes; Da Brat; Missy Elliott",not tonight ladies night remix|||lil kim feat angie martinez lisa left eye lopes da brat missy elliott,8,2,2008-09-09,2009-03-17
2142,Pumps and A Bump,MC Hammer,pumps and a bump|||mc hammer,8,2,2004-05-18,2010-12-28
2389,Sherane a.k.a Master Splinter's Daughter,Kendrick Lamar,sherane a k a master splinters daughter|||kendrick lamar,8,2,2015-03-10,2015-04-28
2448,Slither,Pieces of A Dream,slither|||pieces of a dream,8,2,2005-06-07,2017-02-28
3027,Watch Me (Whip / Nae Nae),Silentó,watch me whip nae nae|||silento,8,2,2015-09-22,2016-11-01
3213,You Sure Love To Ball,Marvin Gaye,you sure love to ball|||marvin gaye,8,2,2010-08-03,2013-01-15
992,Go Home and Be A Family Man OC ReMix,Norrin Radd,go home and be a family man oc remix|||norrin radd,7,2,2004-12-14,2013-12-17
1054,Guardian of Light,Shinji Hosoe; Ayako Saso; Takayuki Aihara,guardian of light|||shinji hosoe ayako saso takayuki aihara,7,2,2011-12-20,2025-02-25
1795,More Bounce to the Ounce,Zapp & Roger,more bounce to the ounce|||zapp and roger,7,2,2013-11-05,2013-12-31
1930,None of Ur Friends Business,Ginuwine,none of ur friends business|||ginuwine,7,2,2011-06-28,2017-07-11
2740,The Boss from Black Caesar,James Brown,the boss from black caesar|||james brown,7,2,2021-03-23,2025-09-16
2815,Theme of Jacky,Mitsu Nakamura; Hashimoto Yoshi,theme of jacky|||mitsu nakamura hashimoto yoshi,7,2,2016-09-06,2020-10-11
2825,Theme of Sarah,Mitsu Nakamura; Hashimoto Yoshi,theme of sarah|||mitsu nakamura hashimoto yoshi,7,2,2016-09-06,2020-10-11
3071,What Happened to That Boy,Baby feat. Clipse,what happened to that boy|||baby feat clipse,7,2,2003-07-01,2006-10-10
3113,Where The Hood At,DMX,where the hood at|||dmx,7,2,2013-06-25,2019-09-10
78,Addicted,Sisqó,addicted|||sisqo,6,2,2019-04-09,2019-05-14
517,Coffee Pot (It's Time For The Percolator),Cajmere,coffee pot its time for the percolator|||cajmere,6,2,2004-07-27,2020-06-02
1083,Heart On Ice,Rod Wave,heart on ice|||rod wave,6,2,2024-09-10,2024-10-15
1133,Holla At Me,DJ Khaled feat. Lil Wayne; Paul Wall; Fat Joe; Rick Ross; Pitbull,holla at me|||dj khaled feat lil wayne paul wall fat joe rick ross pitbull,6,2,2006-06-06,2006-07-11
1153,Hot Sex Pt. 2,Busta Rhymes,hot sex pt 2|||busta rhymes,6,2,2022-11-22,2022-12-27
1755,Memories Back Then,"T.I., B.o.B., Kendrick Lamar feat. Kris Stephens",memories back then|||t i b o b kendrick lamar feat kris stephens,6,2,2018-12-11,2019-01-15
39,4 5 6,Solè feat. JT Money; Kandi,4 5 6|||sole feat jt money kandi,5,2,2004-02-10,2004-06-29
924,Genie In A Bottle,Christina Aguilera,genie in a bottle|||christina aguilera,5,2,2013-02-26,2018-01-09
1115,High Powered,Dr. Dre; The Lady of Rage; RBX,high powered|||dr dre the lady of rage rbx,5,2,2020-07-21,2020-12-08
1955,NWO Wolfpack Theme,WCW,nwo wolfpack theme|||wcw,5,2,2004-02-10,2004-03-09
1925,Nobody Wins,Jodeci feat. B.o.B.,nobody wins|||jodeci feat b o b,5,2,2014-12-23,2015-01-20
2232,Ricochet,Ice-T,ricochet|||ice t,5,2,2005-12-20,2008-02-26
2656,T-Shirt and Panties,Adina Howard feat. Jamie Foxx,t shirt and panties|||adina howard feat jamie foxx,5,2,2004-03-16,2004-08-10
3043,We Got,Ludacris feat. I-20; Chingy; Tity Boi,we got|||ludacris feat i 20 chingy tity boi,5,2,2006-03-07,2006-04-04
3229,You've Lost That Lovin' Feelin',The Righteous Brothers,youve lost that lovin feelin|||the righteous brothers,5,2,2004-02-03,2011-03-15
251,Beach Ball,Busta Rhymes feat. BIA,beach ball|||busta rhymes feat bia,4,2,2023-07-04,2023-07-25
804,Fee Fi Foe,K-Ci and JoJo,fee fi foe|||k ci and jojo,4,2,2004-06-22,2004-07-13
1178,How to Love,Lil' Wayne,how to love|||lil wayne,4,2,2011-07-26,2011-09-06
1495,Keep It Right There (Remix),Changing Faces feat. Devante Swing,keep it right there remix|||changing faces feat devante swing,4,2,2004-02-24,2006-09-19
2750,The First Noel,*Nsync,the first noel|||nsync,4,2,2005-12-06,2005-12-27
2832,There U Go (from Boomerang),Johnny Gill,there u go from boomerang|||johnny gill,4,2,2013-10-08,2025-12-30
2891,Too Legit to Quit,Hammer,too legit to quit|||hammer,4,2,2013-08-06,2013-08-27
3095,What's Love Got to Do With It?,Tina Turner,whats love got to do with it|||tina turner,4,2,2023-05-30,2023-06-20
218,Back to Your Place,October London,back to your place|||october london,3,2,2025-04-29,2025-05-13
363,Breathe and Stop,Q-Tip,breathe and stop|||q tip,3,2,2013-04-23,2013-05-07
450,Caribbean Queen (No More Love On The Run),Billy Ocean,caribbean queen no more love on the run|||billy ocean,3,2,2026-03-24,2026-04-07
